######## Algorithm 1 statistics ######

E1' = No. of errors outside the interval [|f| - X, 1.02 * |f|] 

Z1(5, 2) = 0.054969, E1(5, 2) = 0.033409,  E1'(5, 2) = 0.000016
Z1(5, 3) = 0.054969, E1(5, 3) = 0.041513,  E1'(5, 3) = 0.000032
Z1(6, 2) = 0.001505, E1(6, 2) = 0.000393,  E1'(6, 2) = 0.000000
Z1(6, 3) = 0.001505, E1(6, 3) = 0.000702,  E1'(6, 3) = 0.000000
Z1(7, 2) = 0.000000, E1(7, 2) = 0.000000,  E1'(7, 2) = 0.000000
Z1(7, 3) = 0.000000, E1(7, 3) = 0.000000,  E1'(7, 3) = 0.000000

######## Algorithm 2 statistics ######

Z2(5, 2) = 0.122339, E2(5, 2) = 0.122339,  E2'(5, 2) = 0.000184 (gamma = 1)
Z2(5, 2) = 0.033409, E2(5, 2) = 0.033409,  E2'(5, 2) = 0.000016 (gamma = 2)
Z2(5, 2) = 0.082512, E2(5, 2) = 0.025258,  E2'(5, 2) = 0.000273 (gamma = 3)
Z2(5, 3) = 0.214730, E2(5, 3) = 0.214730,  E2'(5, 3) = 0.003608 (gamma = 1)
Z2(5, 3) = 0.139782, E2(5, 3) = 0.139782,  E2'(5, 3) = 0.000310 (gamma = 2)
Z2(5, 3) = 0.082265, E2(5, 3) = 0.082265,  E2'(5, 3) = 0.000089 (gamma = 3)
Z2(5, 3) = 0.041513, E2(5, 3) = 0.041513,  E2'(5, 3) = 0.000032 (gamma = 4)
Z2(5, 3) = 0.018598, E2(5, 3) = 0.018598,  E2'(5, 3) = 0.000005 (gamma = 5)
Z2(5, 3) = 0.007185, E2(5, 3) = 0.007185,  E2'(5, 3) = 0.000000 (gamma = 6)
Z2(5, 3) = 0.081183, E2(5, 3) = 0.036981,  E2'(5, 3) = 0.000530 (gamma = 7)
Z2(6, 2) = 0.026425, E2(6, 2) = 0.026425,  E2'(6, 2) = 0.000034 (gamma = 1)
Z2(6, 2) = 0.000393, E2(6, 2) = 0.000393,  E2'(6, 2) = 0.000000 (gamma = 2)
Z2(6, 2) = 0.085284, E2(6, 2) = 0.013086,  E2'(6, 2) = 0.000247 (gamma = 3)
Z2(6, 3) = 0.128602, E2(6, 3) = 0.128602,  E2'(6, 3) = 0.000550 (gamma = 1)
Z2(6, 3) = 0.035579, E2(6, 3) = 0.035579,  E2'(6, 3) = 0.000056 (gamma = 2)
Z2(6, 3) = 0.005386, E2(6, 3) = 0.005386,  E2'(6, 3) = 0.000000 (gamma = 3)
Z2(6, 3) = 0.000702, E2(6, 3) = 0.000702,  E2'(6, 3) = 0.000000 (gamma = 4)
Z2(6, 3) = 0.000062, E2(6, 3) = 0.000062,  E2'(6, 3) = 0.000000 (gamma = 5)
Z2(6, 3) = 0.000006, E2(6, 3) = 0.000006,  E2'(6, 3) = 0.000000 (gamma = 6)
Z2(6, 3) = 0.085284, E2(6, 3) = 0.022847,  E2'(6, 3) = 0.000455 (gamma = 7)
Z2(7, 2) = 0.000222, E2(7, 2) = 0.000222,  E2'(7, 2) = 0.000000 (gamma = 1)
Z2(7, 2) = 0.000000, E2(7, 2) = 0.000000,  E2'(7, 2) = 0.000000 (gamma = 2)
Z2(7, 2) = 0.098860, E2(7, 2) = 0.008148,  E2'(7, 2) = 0.000176 (gamma = 3)
Z2(7, 3) = 0.030505, E2(7, 3) = 0.030505,  E2'(7, 3) = 0.000046 (gamma = 1)
Z2(7, 3) = 0.000456, E2(7, 3) = 0.000456,  E2'(7, 3) = 0.000000 (gamma = 2)
Z2(7, 3) = 0.000007, E2(7, 3) = 0.000007,  E2'(7, 3) = 0.000000 (gamma = 3)
Z2(7, 3) = 0.000000, E2(7, 3) = 0.000000,  E2'(7, 3) = 0.000000 (gamma = 4)
Z2(7, 3) = 0.000000, E2(7, 3) = 0.000000,  E2'(7, 3) = 0.000000 (gamma = 5)
Z2(7, 3) = 0.000000, E2(7, 3) = 0.000000,  E2'(7, 3) = 0.000000 (gamma = 6)
Z2(7, 3) = 0.098860, E2(7, 3) = 0.015181,  E2'(7, 3) = 0.000339 (gamma = 7)
